MLBID,MLBNAME
461829,Gio Gonzalez
503556,Marwin Gonzalez
594835,Marco Gonzales
592348,Niko Goodrum
571718,Brian Goodwin
460086,Alex Gordon
543829,Dee Gordon
605253,Terrance Gore
594838,Phil Gosselin
666971,Lourdes Gurriel
493329,Yulieski Gurriel
594840,Matt Grace
434158,Curtis Granderson
518735,Yasmani Grandal
592351,Jon Gray
544369,Didi Gregorius
606988,Grayson Greiner
425844,Zack Greinke
545341,Randal Grichuk
543257,Robbie Grossman
607229,Robert Gsellman
448855,Junior Guerra
446386,Brandon Guyer
608597,Ronald Guzman
576397,Jedd Gyorko
623352,Josh Hader
430935,Cole Hamels
571740,Billy Hamilton
434628,Jason Hammel
641658,Garrett Hampson
543272,Brad Hand
571745,Mitch Haniger
593700,Alen Hanson
664023,Ian Happ
457918,J.A. Happ
547180,Bryce Harper
543281,Josh Harrison
518774,Matt Harvey
452104,Chase Headley
592387,Ryon Healy
571760,Andrew Heaney
588751,Adeiny Hechavarria
595978,Austin Hedges
476451,Jeremy Hellickson
592390,Heath Hembree
543294,Kyle Hendricks
628338,Guillermo Heredia
514917,Cesar Hernandez
456696,David Hernandez
571771,Enrique Hernandez
433587,Felix Hernandez
491676,Gorkys Hernandez
606192,Teoscar Hernandez
599096,Dilson Herrera
546318,Odubel Herrera
594011,Rosell Herrera
543302,Chris Herrmann
605276,David Hess
518792,Jason Heyward
543305,Aaron Hicks
543308,John Hicks
663855,Jordan Hicks
448179,Rich Hill
673633,Yoshihisa Hirano
656546,Jeff Hoffman
592407,Bryan Holaday
502706,Derek Holland
407812,Matt Holliday
571788,Brock Holt
656555,Rhys Hoskins
543333,Eric Hosmer
543339,Daniel Hudson
461833,Phil Hughes
460026,Nick Hundley
571800,Drew Hutchison
455104,Chris Iannetta
578428,Jose Iglesias
628452,Raisel Iglesias
542255,Ender Inciarte
457706,Austin Jackson
429719,Edwin Jackson
608671,Travis Jankowski
643376,Danny Jansen
445055,Jon Jay
543359,Dan Jennings
598271,Brian Johnson
430945,Adam Jones
592444,JaCoby Jones
624507,Ryder Jones
543376,Caleb Joseph
543377,Corban Joseph
459964,Matt Joyce
592450,Aaron Judge
596001,Jake Junis
628356,Jung Ho Kang
641745,Brad Keller
518875,Shawn Kelley
543391,Casey Kelly
608348,Carson Kelly
571841,Ty Kelly
461314,Matt Kemp
643393,Tony Kemp
435062,Howard Kendrick
664028,Brett Kennedy
453178,Ian Kennedy
596146,Max Kepler
477132,Clayton Kershaw
572971,Dallas Keuchel
571851,Spencer Kieboom
595281,Kevin Kiermaier
643396,Isiah Kiner-Falefa
664068,Scott Kingery
592468,Nick Kingham
435079,Ian Kinsler
445213,Brandon Kintzler
543401,Jason Kipnis
623182,Patrick Kivlehan
446372,Corey Kluber
595284,Andrew Knapp
571863,Matt Koch
518902,Pete Kozma
456124,Erik Kratz
641771,Chad Kuhl
501571,Juan Lagares
534606,Ryan LaMarre
571875,Jake Lamb
600303,Tommy La Stella
641778,Eric Lauer
657656,Ramon Laureano
543432,Ryan Lavarnway
571882,Derek Law
502190,Mike Leake
453281,Wade LeBlanc
643410,Mark Leiter
518934,DJ LeMahieu
506702,Sandy Leon
452657,Jon Lester
596019,Francisco Lindor
624407,Tzu-Wei Lin
434538,Francisco Liriano
594902,Ben Lively
642528,Jonathan Loaisiga
446653,Jose Lobaton
446334,Evan Longoria
605347,Jorge Lopez
641154,Pablo Lopez
625643,Reynaldo Lopez
547179,Michael Lorenzen
664040,Brandon Lowe
476704,Jed Lowrie
664192,Joey Lucchesi
518960,Jonathan Lucroy
608475,Dawel Lugo
607625,Seth Lugo
656669,Jordan Luplow
543475,Jordan Lyles
458681,Lance Lynn
553988,Dixon Machado
592518,Manny Machado
628317,Kenta Maeda
641816,Tyler Mahle
543484,Mikie Mahtook
571912,Luke Maile
455117,Martin Maldonado
640455,Sean Manaea
641820,Trey Mancini
622534,Manuel Margot
545350,Jake Marisnick
455976,Nick Markakis
608566,German Marquez
571918,Deven Marrero
